Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,description,subject,course
1794,1,2360,1,112,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,105,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,43,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,906,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,94,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,6,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,58,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,7,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,18,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,115,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,130,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,22,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,25,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,26,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,29,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,31,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,32,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,110,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,36,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,96,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
1794,1,2360,1,37,MSA,MSA,2360,MATH,115,Calculus I,MAT,MAT 115
