Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
176,1997 Second Language (no other),1997-09-03,A,87,42764,RUSSIAN,223,Inten 2nd Yr Russ,N,,,,2009-01-07,,,,0,0,,RUSSIA,RUSSIA 223
176,1997 Second Language (no other),1997-09-03,A,100,41884,RUSSIAN,225,Russian Heritage II,N,,,,2014-12-20,,,,0,0,,RUSSIA,RUSSIA 225
176,1997 Second Language (no other),1997-09-03,A,34,9000,SCAND,234,2nd Year Swedish,N,,,,,,,,0,0,,SCAN,SCAN 234
176,1997 Second Language (no other),1997-09-03,A,76,16705,SLAVIC,262,2nd Yr Macedonian,N,,,,2006-09-05,,,,0,0,,SLAVI,SLAVI 262
176,1997 Second Language (no other),1997-09-03,A,36,1943,SPANISH,230,Intensive 2nd Yr,N,,,,,,,,0,0,,SPANIS,SPANIS 230
176,1997 Second Language (no other),1997-09-03,A,37,1944,SPANISH,232,Second Year Span,N,,,,,,,,0,0,,SPANIS,SPANIS 232
176,1997 Second Language (no other),1997-09-03,A,105,18155,SPANISH,278,Span Herit Lang,N,,,,,,,,0,0,,SPANIS,SPANIS 278
176,1997 Second Language (no other),1997-09-03,A,46,18809,SSEA,302,Read Writ Na,N,,,,,,,,0,0,,SSE,SSE 302
176,1997 Second Language (no other),1997-09-03,A,49,19118,SSEA,372,IM Punjabi,N,,,,1998-09-08,,,,0,0,,SSE,SSE 372
176,1997 Second Language (no other),1997-09-03,A,51,19124,SSEA,380,IM Marathi,N,,,,1998-09-08,,,,0,0,,SSE,SSE 380
176,1997 Second Language (no other),1997-09-03,A,104,49661,STDABRD,233,AdvSpan-Alicante ES,N,,,,2020-05-01,,,,0,0,,STDABR,STDABR 233
176,1997 Second Language (no other),1997-09-03,A,3,9132,TURKISH,202,IM Turkish II,N,,,,,,,,0,0,,TURKIS,TURKIS 202
176,1997 Second Language (no other),1997-09-03,A,53,21428,TURKISH,203,Int 2nd Yr Turk,N,,,,1999-09-08,,,,0,0,,TURKIS,TURKIS 203
176,1997 Second Language (no other),1997-09-03,A,64,39401,UKR,203,Intensive Ukrainain,N,,,,2002-09-03,,,,0,0,,UK,UK 203
176,1997 Second Language (no other),1997-09-03,A,47,9011,UKR,252,2nd Year Ukr,N,,,,,,,,0,0,,UK,UK 252
176,1997 Second Language (no other),1997-09-03,A,26,13335,YIDDISH,202,2nd Year Yiddish II,N,,,,,,,,0,0,,YIDDIS,YIDDIS 202
